# Renewables.ninja Wind power (Point API) - 41.000, 113.100 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "electricity": "kW", "wind_speed": "m/s"}, "params": {"lat": "41.0", "lon": "113.1", "date_from": "2024-01-01", "date_to": "2024-12-31", "dataset": "merra2", "capacity": "1", "height": "100", "turbine": "Vestas V112 3000", "header": "true", "raw": "true"}}
time,electricity,wind_speed
2024-01-01 00:00,0.546,8.334
2024-01-01 01:00,0.352,6.995
2024-01-01 02:00,0.229,6.027
2024-01-01 03:00,0.425,7.506
2024-01-01 04:00,0.464,7.773
2024-01-01 05:00,0.420,7.477
2024-01-01 06:00,0.362,7.068
2024-01-01 07:00,0.311,6.691
2024-01-01 08:00,0.258,6.283
2024-01-01 09:00,0.309,6.683
2024-01-01 10:00,0.419,7.472
2024-01-01 11:00,0.513,8.109
2024-01-01 12:00,0.562,8.444
2024-01-01 13:00,0.575,8.543
2024-01-01 14:00,0.590,8.644
2024-01-01 15:00,0.594,8.681
2024-01-01 16:00,0.602,8.735
2024-01-01 17:00,0.618,8.854
2024-01-01 18:00,0.628,8.932
2024-01-01 19:00,0.639,9.006
2024-01-01 20:00,0.653,9.119
2024-01-01 21:00,0.646,9.068
2024-01-01 22:00,0.646,9.068
2024-01-01 23:00,0.674,9.289
2024-01-02 00:00,0.663,9.189
2024-01-02 01:00,0.511,8.094
2024-01-02 02:00,0.713,9.615
2024-01-02 03:00,0.892,11.762
2024-01-02 04:00,0.928,12.568
2024-01-02 05:00,0.943,12.990
2024-01-02 06:00,0.946,13.089
2024-01-02 07:00,0.935,12.759
2024-01-02 08:00,0.887,11.690
2024-01-02 09:00,0.886,11.655
2024-01-02 10:00,0.869,11.387
2024-01-02 11:00,0.886,11.650
2024-01-02 12:00,0.901,11.953
2024-01-02 13:00,0.907,12.082
2024-01-02 14:00,0.900,11.930
2024-01-02 15:00,0.845,11.014
2024-01-02 16:00,0.791,10.360
2024-01-02 17:00,0.752,9.972
2024-01-02 18:00,0.721,9.682
2024-01-02 19:00,0.700,9.490
2024-01-02 20:00,0.683,9.363
2024-01-02 21:00,0.672,9.263
2024-01-02 22:00,0.674,9.283
2024-01-02 23:00,0.707,9.557
2024-01-03 00:00,0.707,9.557
2024-01-03 01:00,0.562,8.451
2024-01-03 02:00,0.694,9.452
2024-01-03 03:00,0.859,11.222
2024-01-03 04:00,0.915,12.262
2024-01-03 05:00,0.943,13.005
2024-01-03 06:00,0.952,13.306
2024-01-03 07:00,0.935,12.764
2024-01-03 08:00,0.899,11.903
2024-01-03 09:00,0.882,11.594
2024-01-03 10:00,0.896,11.857
2024-01-03 11:00,0.917,12.293
2024-01-03 12:00,0.924,12.465
2024-01-03 13:00,0.924,12.478
2024-01-03 14:00,0.921,12.389
2024-01-03 15:00,0.916,12.287
2024-01-03 16:00,0.909,12.119
2024-01-03 17:00,0.903,11.991
2024-01-03 18:00,0.901,11.960
2024-01-03 19:00,0.897,11.883
2024-01-03 20:00,0.896,11.859
2024-01-03 21:00,0.893,11.788
2024-01-03 22:00,0.887,11.684
2024-01-03 23:00,0.890,11.733
2024-01-04 00:00,0.876,11.489
2024-01-04 01:00,0.791,10.362
2024-01-04 02:00,0.908,12.098
2024-01-04 03:00,0.992,16.162
2024-01-04 04:00,0.993,17.101
2024-01-04 05:00,0.993,16.538
2024-01-04 06:00,0.986,15.327
2024-01-04 07:00,0.965,13.883
2024-01-04 08:00,0.909,12.125
2024-01-04 09:00,0.843,11.000
2024-01-04 10:00,0.684,9.365
2024-01-04 11:00,0.581,8.582
2024-01-04 12:00,0.529,8.220
2024-01-04 13:00,0.497,8.001
2024-01-04 14:00,0.491,7.961
2024-01-04 15:00,0.483,7.902
2024-01-04 16:00,0.459,7.737
2024-01-04 17:00,0.436,7.582
2024-01-04 18:00,0.453,7.706
2024-01-04 19:00,0.512,8.099
2024-01-04 20:00,0.580,8.571
2024-01-04 21:00,0.606,8.767
2024-01-04 22:00,0.582,8.593
2024-01-04 23:00,0.502,8.036
2024-01-05 00:00,0.393,7.290
2024-01-05 01:00,0.256,6.256
2024-01-05 02:00,0.338,6.900
2024-01-05 03:00,0.559,8.420
2024-01-05 04:00,0.658,9.151
2024-01-05 05:00,0.748,9.922
2024-01-05 06:00,0.806,10.531
2024-01-05 07:00,0.811,10.590
2024-01-05 08:00,0.741,9.860
2024-01-05 09:00,0.665,9.214
2024-01-05 10:00,0.615,8.828
2024-01-05 11:00,0.646,9.066
2024-01-05 12:00,0.710,9.578
2024-01-05 13:00,0.752,9.970
2024-01-05 14:00,0.773,10.166
2024-01-05 15:00,0.752,9.960
2024-01-05 16:00,0.745,9.897
2024-01-05 17:00,0.767,10.109
2024-01-05 18:00,0.782,10.271
2024-01-05 19:00,0.778,10.227
2024-01-05 20:00,0.773,10.169
2024-01-05 21:00,0.733,9.790
2024-01-05 22:00,0.688,9.397
2024-01-05 23:00,0.669,9.241
2024-01-06 00:00,0.651,9.104
2024-01-06 01:00,0.812,10.596
2024-01-06 02:00,0.797,10.426
2024-01-06 03:00,0.700,9.490
2024-01-06 04:00,0.625,8.902
2024-01-06 05:00,0.582,8.596
2024-01-06 06:00,0.574,8.534
2024-01-06 07:00,0.598,8.705
2024-01-06 08:00,0.536,8.271
2024-01-06 09:00,0.382,7.211
2024-01-06 10:00,0.324,6.798
2024-01-06 11:00,0.304,6.645
2024-01-06 12:00,0.289,6.532
2024-01-06 13:00,0.276,6.418
2024-01-06 14:00,0.265,6.339
2024-01-06 15:00,0.297,6.588
2024-01-06 16:00,0.348,6.970
2024-01-06 17:00,0.393,7.292
2024-01-06 18:00,0.433,7.569
2024-01-06 19:00,0.472,7.825
2024-01-06 20:00,0.488,7.943
2024-01-06 21:00,0.456,7.725
2024-01-06 22:00,0.381,7.209
2024-01-06 23:00,0.301,6.616
2024-01-07 00:00,0.232,6.058
2024-01-07 01:00,0.127,5.001
2024-01-07 02:00,0.096,4.581
2024-01-07 03:00,0.257,6.274
2024-01-07 04:00,0.416,7.438
2024-01-07 05:00,0.550,8.368
2024-01-07 06:00,0.619,8.861
2024-01-07 07:00,0.629,8.936
2024-01-07 08:00,0.566,8.482
2024-01-07 09:00,0.586,8.621
2024-01-07 10:00,0.603,8.738
2024-01-07 11:00,0.612,8.814
2024-01-07 12:00,0.644,9.044
2024-01-07 13:00,0.692,9.424
2024-01-07 14:00,0.739,9.833
2024-01-07 15:00,0.769,10.138
2024-01-07 16:00,0.783,10.276
2024-01-07 17:00,0.772,10.162
2024-01-07 18:00,0.738,9.839
2024-01-07 19:00,0.707,9.564
2024-01-07 20:00,0.692,9.429
2024-01-07 21:00,0.679,9.329
2024-01-07 22:00,0.663,9.191
2024-01-07 23:00,0.648,9.080
2024-01-08 00:00,0.569,8.495
2024-01-08 01:00,0.317,6.730
2024-01-08 02:00,0.156,5.328
2024-01-08 03:00,0.238,6.116
2024-01-08 04:00,0.371,7.133
2024-01-08 05:00,0.382,7.213
2024-01-08 06:00,0.351,6.986
2024-01-08 07:00,0.298,6.593
2024-01-08 08:00,0.273,6.406
2024-01-08 09:00,0.281,6.462
2024-01-08 10:00,0.273,6.406
2024-01-08 11:00,0.258,6.285
2024-01-08 12:00,0.235,6.089
2024-01-08 13:00,0.258,6.284
2024-01-08 14:00,0.314,6.717
2024-01-08 15:00,0.311,6.693
2024-01-08 16:00,0.308,6.668
2024-01-08 17:00,0.333,6.854
2024-01-08 18:00,0.362,7.070
2024-01-08 19:00,0.416,7.453
2024-01-08 20:00,0.490,7.953
2024-01-08 21:00,0.543,8.314
2024-01-08 22:00,0.559,8.432
2024-01-08 23:00,0.533,8.250
2024-01-09 00:00,0.560,8.433
2024-01-09 01:00,0.549,8.356
2024-01-09 02:00,0.585,8.616
2024-01-09 03:00,0.565,8.474
2024-01-09 04:00,0.548,8.346
2024-01-09 05:00,0.524,8.188
2024-01-09 06:00,0.505,8.055
2024-01-09 07:00,0.456,7.720
2024-01-09 08:00,0.345,6.941
2024-01-09 09:00,0.279,6.444
2024-01-09 10:00,0.250,6.209
2024-01-09 11:00,0.224,5.984
2024-01-09 12:00,0.189,5.670
2024-01-09 13:00,0.157,5.338
2024-01-09 14:00,0.170,5.477
2024-01-09 15:00,0.262,6.318
2024-01-09 16:00,0.445,7.640
2024-01-09 17:00,0.634,8.979
2024-01-09 18:00,0.753,9.977
2024-01-09 19:00,0.813,10.608
2024-01-09 20:00,0.839,10.937
2024-01-09 21:00,0.847,11.049
2024-01-09 22:00,0.848,11.068
2024-01-09 23:00,0.837,10.909
2024-01-10 00:00,0.806,10.528
2024-01-10 01:00,0.729,9.754
2024-01-10 02:00,0.909,12.128
2024-01-10 03:00,0.938,12.866
2024-01-10 04:00,0.963,13.745
2024-01-10 05:00,0.970,14.135
2024-01-10 06:00,0.967,13.940
2024-01-10 07:00,0.943,13.023
2024-01-10 08:00,0.906,12.061
2024-01-10 09:00,0.891,11.741
2024-01-10 10:00,0.896,11.851
2024-01-10 11:00,0.901,11.956
2024-01-10 12:00,0.904,12.017
2024-01-10 13:00,0.904,12.009
2024-01-10 14:00,0.897,11.880
2024-01-10 15:00,0.891,11.753
2024-01-10 16:00,0.886,11.651
2024-01-10 17:00,0.869,11.384
2024-01-10 18:00,0.847,11.050
2024-01-10 19:00,0.818,10.679
2024-01-10 20:00,0.776,10.205
2024-01-10 21:00,0.731,9.772
2024-01-10 22:00,0.691,9.417
2024-01-10 23:00,0.663,9.195
2024-01-11 00:00,0.620,8.867
2024-01-11 01:00,0.366,7.096
2024-01-11 02:00,0.155,5.310
2024-01-11 03:00,0.287,6.511
2024-01-11 04:00,0.429,7.535
2024-01-11 05:00,0.516,8.127
2024-01-11 06:00,0.562,8.452
2024-01-11 07:00,0.499,8.007
2024-01-11 08:00,0.359,7.047
2024-01-11 09:00,0.267,6.346
2024-01-11 10:00,0.144,5.195
2024-01-11 11:00,0.062,4.043
2024-01-11 12:00,0.033,3.403
2024-01-11 13:00,0.055,3.914
2024-01-11 14:00,0.147,5.228
2024-01-11 15:00,0.303,6.637
2024-01-11 16:00,0.466,7.783
2024-01-11 17:00,0.574,8.531
2024-01-11 18:00,0.642,9.028
2024-01-11 19:00,0.702,9.518
2024-01-11 20:00,0.752,9.970
2024-01-11 21:00,0.792,10.375
2024-01-11 22:00,0.821,10.715
2024-01-11 23:00,0.837,10.911
2024-01-12 00:00,0.805,10.515
2024-01-12 01:00,0.562,8.442
2024-01-12 02:00,0.270,6.375
2024-01-12 03:00,0.304,6.643
2024-01-12 04:00,0.490,7.957
2024-01-12 05:00,0.479,7.879
2024-01-12 06:00,0.365,7.093
2024-01-12 07:00,0.215,5.908
2024-01-12 08:00,0.130,5.024
2024-01-12 09:00,0.081,4.363
2024-01-12 10:00,0.058,3.954
2024-01-12 11:00,0.071,4.202
2024-01-12 12:00,0.132,5.048
2024-01-12 13:00,0.235,6.089
2024-01-12 14:00,0.374,7.153
2024-01-12 15:00,0.536,8.261
2024-01-12 16:00,0.669,9.242
2024-01-12 17:00,0.743,9.879
2024-01-12 18:00,0.781,10.254
2024-01-12 19:00,0.795,10.402
2024-01-12 20:00,0.798,10.437
2024-01-12 21:00,0.818,10.680
2024-01-12 22:00,0.854,11.147
2024-01-12 23:00,0.880,11.565
2024-01-13 00:00,0.871,11.397
2024-01-13 01:00,0.780,10.251
2024-01-13 02:00,0.640,9.014
2024-01-13 03:00,0.600,8.720
2024-01-13 04:00,0.663,9.196
2024-01-13 05:00,0.686,9.385
2024-01-13 06:00,0.758,10.027
2024-01-13 07:00,0.875,11.469
2024-01-13 08:00,0.952,13.299
2024-01-13 09:00,0.963,13.762
2024-01-13 10:00,0.973,14.285
2024-01-13 11:00,0.987,15.373
2024-01-13 12:00,0.989,15.718
2024-01-13 13:00,0.987,15.374
2024-01-13 14:00,0.978,14.577
2024-01-13 15:00,0.951,13.280
2024-01-13 16:00,0.892,11.764
2024-01-13 17:00,0.843,10.991
2024-01-13 18:00,0.774,10.177
2024-01-13 19:00,0.741,9.867
2024-01-13 20:00,0.697,9.475
2024-01-13 21:00,0.646,9.070
