# Renewables.ninja Wind power (Point API) - 32.700, 121.600 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "electricity": "kW", "wind_speed": "m/s"}, "params": {"lat": "32.7", "lon": "121.6", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1", "height": "140", "turbine": "Vestas V164 8000", "header": "true", "raw": "true"}}
time,electricity,wind_speed
2020-01-01 00:00,0,1.120
2020-01-01 01:00,0,1.464
2020-01-01 02:00,0.001,1.757
2020-01-01 03:00,0.001,1.848
2020-01-01 04:00,0.001,1.990
2020-01-01 05:00,0.003,2.279
2020-01-01 06:00,0.008,2.732
2020-01-01 07:00,0.018,3.265
2020-01-01 08:00,0.040,3.963
2020-01-01 09:00,0.061,4.427
2020-01-01 10:00,0.071,4.614
2020-01-01 11:00,0.072,4.623
2020-01-01 12:00,0.060,4.399
2020-01-01 13:00,0.039,3.934
2020-01-01 14:00,0.021,3.368
2020-01-01 15:00,0.013,3.064
2020-01-01 16:00,0.010,2.871
2020-01-01 17:00,0.006,2.626
2020-01-01 18:00,0.006,2.557
2020-01-01 19:00,0.010,2.868
2020-01-01 20:00,0.021,3.386
2020-01-01 21:00,0.037,3.889
2020-01-01 22:00,0.041,3.997
2020-01-01 23:00,0.049,4.167
2020-01-02 00:00,0.061,4.432
2020-01-02 01:00,0.074,4.660
2020-01-02 02:00,0.065,4.503
2020-01-02 03:00,0.042,4.018
2020-01-02 04:00,0.028,3.620
2020-01-02 05:00,0.028,3.616
2020-01-02 06:00,0.037,3.875
2020-01-02 07:00,0.053,4.258
2020-01-02 08:00,0.080,4.773
2020-01-02 09:00,0.110,5.225
2020-01-02 10:00,0.128,5.465
2020-01-02 11:00,0.134,5.535
2020-01-02 12:00,0.141,5.631
2020-01-02 13:00,0.138,5.585
2020-01-02 14:00,0.118,5.342
2020-01-02 15:00,0.084,4.834
2020-01-02 16:00,0.059,4.381
2020-01-02 17:00,0.049,4.185
2020-01-02 18:00,0.049,4.168
2020-01-02 19:00,0.058,4.356
2020-01-02 20:00,0.077,4.716
2020-01-02 21:00,0.109,5.216
2020-01-02 22:00,0.135,5.541
2020-01-02 23:00,0.138,5.580
2020-01-03 00:00,0.119,5.350
2020-01-03 01:00,0.099,5.064
2020-01-03 02:00,0.081,4.780
2020-01-03 03:00,0.064,4.492
2020-01-03 04:00,0.066,4.521
2020-01-03 05:00,0.071,4.611
2020-01-03 06:00,0.071,4.607
2020-01-03 07:00,0.083,4.823
2020-01-03 08:00,0.088,4.906
2020-01-03 09:00,0.096,5.023
2020-01-03 10:00,0.122,5.385
2020-01-03 11:00,0.142,5.637
2020-01-03 12:00,0.143,5.659
2020-01-03 13:00,0.126,5.441
2020-01-03 14:00,0.100,5.079
2020-01-03 15:00,0.079,4.745
2020-01-03 16:00,0.068,4.558
2020-01-03 17:00,0.068,4.540
2020-01-03 18:00,0.094,4.989
2020-01-03 19:00,0.118,5.328
2020-01-03 20:00,0.130,5.495
2020-01-03 21:00,0.120,5.365
2020-01-03 22:00,0.097,5.026
2020-01-03 23:00,0.074,4.670
2020-01-04 00:00,0.055,4.311
2020-01-04 01:00,0.045,4.082
2020-01-04 02:00,0.050,4.198
2020-01-04 03:00,0.063,4.462
2020-01-04 04:00,0.076,4.692
2020-01-04 05:00,0.076,4.697
2020-01-04 06:00,0.083,4.808
2020-01-04 07:00,0.101,5.101
2020-01-04 08:00,0.120,5.356
2020-01-04 09:00,0.137,5.571
2020-01-04 10:00,0.151,5.749
2020-01-04 11:00,0.161,5.864
2020-01-04 12:00,0.180,6.075
2020-01-04 13:00,0.194,6.214
2020-01-04 14:00,0.194,6.218
2020-01-04 15:00,0.205,6.326
2020-01-04 16:00,0.229,6.559
2020-01-04 17:00,0.228,6.551
2020-01-04 18:00,0.238,6.643
2020-01-04 19:00,0.279,7.005
2020-01-04 20:00,0.334,7.461
2020-01-04 21:00,0.392,7.902
2020-01-04 22:00,0.407,8.010
2020-01-04 23:00,0.413,8.064
2020-01-05 00:00,0.395,7.922
2020-01-05 01:00,0.383,7.840
2020-01-05 02:00,0.404,7.990
2020-01-05 03:00,0.420,8.115
2020-01-05 04:00,0.420,8.113
2020-01-05 05:00,0.455,8.376
2020-01-05 06:00,0.506,8.751
2020-01-05 07:00,0.590,9.385
2020-01-05 08:00,0.679,10.101
2020-01-05 09:00,0.728,10.561
2020-01-05 10:00,0.742,10.702
2020-01-05 11:00,0.783,11.124
2020-01-05 12:00,0.841,11.877
2020-01-05 13:00,0.873,12.380
2020-01-05 14:00,0.899,12.854
2020-01-05 15:00,0.929,13.579
2020-01-05 16:00,0.934,13.718
