family,file_name,status,source_column,note,output_path
SHELF,SHELF-days-per-timeslice.csv,generated,,generated from clustered timeslice day counts,C:\Users\RobbieOrvis\Models\Global Electricity File Creator\output\SouthKorea_timeslice_results_EPS\SHELF\SHELF-days-per-timeslice.csv
SHELF,SHELF-residential-heating.csv,generated,"{""mode"": ""direct"", ""column"": ""residential_heating_load_factor""}",generated from residential_heating_load_factor,C:\Users\RobbieOrvis\Models\Global Electricity File Creator\output\SouthKorea_timeslice_results_EPS\SHELF\SHELF-residential-heating.csv
SHELF,SHELF-residential-cooling.csv,generated,"{""mode"": ""direct"", ""column"": ""residential_cooling_load_factor""}",generated from residential_cooling_load_factor,C:\Users\RobbieOrvis\Models\Global Electricity File Creator\output\SouthKorea_timeslice_results_EPS\SHELF\SHELF-residential-cooling.csv
SHELF,SHELF-residential-envelope.csv,generated,"{""mode"": ""zeros""}",generated as explicit zero table,C:\Users\RobbieOrvis\Models\Global Electricity File Creator\output\SouthKorea_timeslice_results_EPS\SHELF\SHELF-residential-envelope.csv
SHELF,SHELF-residential-lighting.csv,generated,"{""mode"": ""direct"", ""column"": ""residential_lighting_load_factor""}",generated from residential_lighting_load_factor,C:\Users\RobbieOrvis\Models\Global Electricity File Creator\output\SouthKorea_timeslice_results_EPS\SHELF\SHELF-residential-lighting.csv
SHELF,SHELF-residential-appliances.csv,generated,"{""mode"": ""template_split"", ""aggregate_columns"": [""residential_waterheating_load_factor"", ""residential_other_load_factor""], ""peer_files"": [""SHELF-residential-appliances"", ""SHELF-residential-other""]}","generated from template-weighted split of residential_waterheating_load_factor, residential_other_load_factor across SHELF-residential-appliances, SHELF-residential-other",C:\Users\RobbieOrvis\Models\Global Electricity File Creator\output\SouthKorea_timeslice_results_EPS\SHELF\SHELF-residential-appliances.csv
SHELF,SHELF-residential-other.csv,generated,"{""mode"": ""template_split"", ""aggregate_columns"": [""residential_waterheating_load_factor"", ""residential_other_load_factor""], ""peer_files"": [""SHELF-residential-appliances"", ""SHELF-residential-other""]}","generated from template-weighted split of residential_waterheating_load_factor, residential_other_load_factor across SHELF-residential-appliances, SHELF-residential-other",C:\Users\RobbieOrvis\Models\Global Electricity File Creator\output\SouthKorea_timeslice_results_EPS\SHELF\SHELF-residential-other.csv
SHELF,SHELF-commercial-heating.csv,generated,"{""mode"": ""direct"", ""column"": ""service_heating_load_factor""}",generated from service_heating_load_factor,C:\Users\RobbieOrvis\Models\Global Electricity File Creator\output\SouthKorea_timeslice_results_EPS\SHELF\SHELF-commercial-heating.csv
SHELF,SHELF-commercial-cooling.csv,generated,"{""mode"": ""direct"", ""column"": ""service_cooling_load_factor""}",generated from service_cooling_load_factor,C:\Users\RobbieOrvis\Models\Global Electricity File Creator\output\SouthKorea_timeslice_results_EPS\SHELF\SHELF-commercial-cooling.csv
SHELF,SHELF-commercial-envelope.csv,generated,"{""mode"": ""zeros""}",generated as explicit zero table,C:\Users\RobbieOrvis\Models\Global Electricity File Creator\output\SouthKorea_timeslice_results_EPS\SHELF\SHELF-commercial-envelope.csv
